pitcher_id,pitcher_trackman_id,conf,evidence_pitches
20700,99445,0.9999999999988466,867.0
20938,70425,0.9999999999982363,567.0
21095,71118,0.9999999999863013,73.0
21170,71837,0.99999999995,20.0
21178,71845,0.9999999999880952,84.0
21279,72447,0.9999999999985316,681.0
21372,72523,0.9999999999996995,3327.0
21402,73117,0.9999999999997544,4072.0
21414,73738,0.9999999999995354,2152.0
21415,73750,0.9999999999931973,147.0
21432,73801,0.9999999999996152,2599.0
21441,73211,0.9999999999998455,6472.0
21549,74454,0.9999999999995935,2460.0
21558,74359,0.9999999999992307,1300.0
21571,74838,0.9999999999814816,54.0
21587,74731,0.9999999998888889,9.0
21588,74748,0.9999999999677419,31.0
21595,74630,0.999999999996988,332.0
21622,74513,0.9999999999992872,1403.0
21624,74543,0.9999999999166667,12.0
21654,75342,0.9999999999991104,1124.0
21690,75867,0.9999999999997878,4715.0
21699,75138,0.9999999999987453,797.0
21733,75250,0.9999999999964789,284.0
21754,75258,0.9999999999990636,1068.0
21789,76430,0.9999999999997835,4622.0
21795,76455,0.9999999999997415,3869.0
21813,76225,0.9999999999995345,2148.0
21830,76858,0.9999999999988585,876.0
21840,76757,0.9999999999992913,1411.0
21874,76355,0.9999999999987685,812.0
21875,76329,0.9999999999991646,1197.0
21916,77446,0.9999999999998979,9794.0
21936,77318,0.9999999999998678,7568.0
21940,77211,0.9999999999998264,5761.0
21943,77263,0.9999999999996155,2601.0
21955,77829,0.9999999999998982,9827.0
21961,77637,0.9999999999998442,6424.0
21978,77591,0.9999999999983606,610.0
21991,78517,0.9999999999993284,1489.0
21994,60559,0.9999999999996019,2512.0
21998,78148,0.9999999999998337,6016.0
22007,78819,0.9999999999915254,118.0
22015,78247,0.9999999999990422,1044.0
22028,78352,0.999999999999722,3597.0
22029,78366,0.999999999990991,111.0
22094,79140,0.999999999999657,2916.0
22099,79130,0.9999999999978904,474.0
22110,79617,0.9999999999545455,22.0
22118,79847,0.999999999999666,2994.0
22123,79825,0.9999999999987147,778.0
22131,79229,0.9999999999998022,5057.0
22136,79440,0.9999999999986092,719.0
22143,79358,0.9999999999994553,1836.0
22154,79545,0.999999999999534,2146.0
22163,79764,0.9999999999998408,6284.0
22180,79293,0.9999999999989723,973.0
22192,60841,0.9999999999998859,8764.0
22201,60339,0.9999999999994623,1860.0
22205,60336,0.9999999999995298,2127.0
22220,60634,0.9999999999952154,209.0
22231,60768,0.9999999999998327,5981.0
22233,60757,0.999999999994924,197.0
22234,60845,0.9999999999980392,510.0
22249,60263,0.9999999999998935,9398.0
22250,60264,0.9999999999836067,61.0
22253,60140,0.9999999999995595,2270.0
22254,60146,0.9999999999997731,4408.0
22261,60181,0.9999999999975728,412.0
